t,pos,neg,overall,total_pos,total_neg
1,2.1009883293029126,-1.9823888129534224,0.11859951634949017,39965,-37709
2,1.8998404740200547,-1.7633318140382863,0.13650865998176842,33346,-30950
3,1.8327512355848434,-1.680527182866557,0.15222405271828654,27812,-25502
4,1.83432256173518,-1.6824943210962116,0.15182824063896838,25033,-22961
5,1.8391515341264872,-1.621947401377583,0.21720413274890427,23497,-20722
6,1.8911574304616916,-1.6914704417727822,0.19968698868890944,26584,-23777
7,1.851465398189351,-1.618305969004143,0.23315942918520793,24132,-21093
8,1.8330371686657783,-1.6665185843328891,0.16651858433288913,24757,-22508
9,1.8135155403716356,-1.6416131989000917,0.17190234147154393,21764,-19701
10,1.8423832468495183,-1.6658636026686435,0.17651964418087474,19883,-17978
